,date_tag_0,value_tag_0,date_tag_1,value_tag_1,date_tag_2,value_tag_2,date_tag_3,value_tag_3,date_tag_4,value_tag_4
100,2022-01-12T20:02:13.082,44.0,2022-01-11T11:20:18.667,44.0,2022-01-12T12:02:13.285,75.0,2022-01-11T19:07:13.648,75.0,2022-01-11T19:21:47.171,43.0
101,2022-01-12T20:27:13.102,44.0,2022-01-11T11:24:26.692,43.0,2022-01-12T12:27:13.306,75.0,2022-01-11T19:37:13.572,75.0,2022-01-11T19:47:27.309,42.8
102,2022-01-12T20:52:13.123,44.0,2022-01-11T11:25:56.704,44.0,2022-01-12T12:57:13.231,75.0,2022-01-11T20:02:13.593,75.0,2022-01-11T19:55:21.347,42.9
103,2022-01-12T21:22:13.048,44.0,2022-01-11T11:27:10.679,43.0,2022-01-12T13:22:13.251,75.0,2022-01-11T20:27:13.614,75.0,2022-01-11T20:03:25.306,42.7
104,2022-01-12T21:47:13.068,44.0,2022-01-11T11:47:13.784,43.0,2022-01-12T13:47:13.272,75.0,2022-01-11T20:57:13.538,75.0,2022-01-11T20:22:54.201,42.9
105,2022-01-12T22:12:13.089,44.0,2022-01-11T11:48:59.319,44.0,2022-01-12T14:17:13.197,75.0,2022-01-11T21:22:13.559,75.0,2022-01-11T20:36:33.28,42.9
106,2022-01-12T22:42:13.014,44.0,2022-01-11T11:49:43.326,43.0,2022-01-12T14:42:13.217,75.0,2022-01-11T21:47:13.58,75.0,2022-01-11T20:57:27.344,42.8
107,2022-01-12T23:07:13.034,44.0,2022-01-11T12:17:13.809,43.0,2022-01-12T15:07:13.238,75.0,2022-01-11T22:17:13.504,75.0,2022-01-11T21:09:17.442,43.1
108,2022-01-12T23:32:13.055,44.0,2022-01-11T12:42:13.73,43.0,2022-01-12T15:37:13.163,75.0,2022-01-11T22:42:13.525,75.0,2022-01-11T21:20:19.476,42.9
109,2022-01-13T00:02:12.98,44.0,2022-01-11T12:42:49.969,44.0,2022-01-12T16:02:13.183,75.0,2022-01-11T23:07:13.546,75.0,2022-01-11T21:39:10.572,42.8
110,2022-01-13T00:27:13,44.0,2022-01-11T12:43:46.971,43.0,2022-01-12T16:27:13.204,75.0,2022-01-11T23:32:13.566,75.0,2022-01-11T21:44:19.624,42.7
111,2022-01-13T00:52:13.021,44.0,2022-01-11T12:51:57.015,44.0,2022-01-12T16:57:13.129,75.0,2022-01-12T00:02:13.491,75.0,2022-01-11T21:53:26.732,42.9
112,2022-01-13T01:12:12.937,44.0,2022-01-11T12:57:13.742,44.0,2022-01-12T17:22:13.15,75.0,2022-01-12T00:27:13.512,75.0,2022-01-11T22:05:15.722,42.9
113,2022-01-13T01:12:32.281,43.0,2022-01-11T12:59:54.142,43.0,2022-01-12T17:52:13.074,75.0,2022-01-12T00:52:13.532,75.0,2022-01-11T22:13:27.585,42.9
114,2022-01-13T01:42:12.962,43.0,2022-01-11T13:07:13.75,43.0,2022-01-12T18:17:13.095,75.0,2022-01-12T01:22:13.457,75.0,2022-01-11T22:32:22.565,43.0
115,2022-01-13T01:43:21.462,44.0,2022-01-11T13:10:09.142,44.0,2022-01-12T18:42:13.116,75.0,2022-01-12T01:47:13.478,75.0,2022-01-11T22:36:56.595,43.2
116,2022-01-13T02:12:12.987,44.0,2022-01-11T13:11:31.089,43.0,2022-01-12T19:07:13.136,75.0,2022-01-12T02:12:13.498,75.0,2022-01-11T22:57:55.673,42.9
117,2022-01-13T02:42:12.912,44.0,2022-01-11T13:17:13.759,43.0,2022-01-12T19:37:13.061,75.0,2022-01-12T02:42:13.423,75.0,2022-01-11T23:19:26.685,42.8
118,2022-01-13T03:07:12.932,44.0,2022-01-11T13:20:09.041,44.0,2022-01-12T20:02:13.082,75.0,2022-01-12T03:07:13.444,75.0,2022-01-11T23:31:22.788,42.8
119,2022-01-13T03:32:12.953,44.0,2022-01-11T13:22:40.033,43.0,2022-01-12T20:27:13.102,75.0,2022-01-12T03:32:13.464,75.0,2022-01-11T23:49:30.697,43.0
120,2022-01-13T04:02:12.878,44.0,2022-01-11T13:32:13.771,43.0,2022-01-12T20:52:13.123,75.0,2022-01-12T04:02:13.389,75.0,2022-01-11T23:57:05.671,42.9
121,2022-01-13T04:27:12.898,44.0,2022-01-11T13:35:19.068,44.0,2022-01-12T21:22:13.048,75.0,2022-01-12T04:27:13.41,75.0,2022-01-12T00:25:37.821,43.0
